SaleID,CustomerID,ProductID,SaleDate,Quantity,Amount
1,101,501,2024-01-01,1,100
2,102,502,2024-01-02,2,150
3,103,503,2024-01-03,3,200
4,104,504,2024-01-04,4,250
5,105,501,2024-01-05,5,300
6,101,502,2024-01-06,1,100
7,102,503,2024-01-07,2,150
8,103,504,2024-01-08,3,200
9,104,501,2024-01-09,4,250
10,105,502,2024-01-10,5,300
11,101,503,2024-01-11,1,100
12,102,504,2024-01-12,2,150
13,103,501,2024-01-13,3,200
14,104,502,2024-01-14,4,250
15,105,503,2024-01-15,5,300
16,101,504,2024-01-16,1,100
17,102,501,2024-01-17,2,150
18,103,502,2024-01-18,3,200
19,104,503,2024-01-19,4,250
20,105,504,2024-01-20,5,300
